Property_Id,Check_In_Date,Room_Category,Helper,Successful_Bookings,Capacity
16559,01-05-22,RT1,16559|44682|RT1,25,30
19562,01-05-22,RT1,19562|44682|RT1,28,30
19563,01-05-22,RT1,19563|44682|RT1,23,30
17558,01-05-22,RT1,17558|44682|RT1,13,19
16558,01-05-22,RT1,16558|44682|RT1,18,19
17560,01-05-22,RT1,17560|44682|RT1,28,40
19558,01-05-22,RT1,19558|44682|RT1,25,40
19560,01-05-22,RT1,19560|44682|RT1,23,26
17561,01-05-22,RT1,17561|44682|RT1,22,26
16560,01-05-22,RT1,16560|44682|RT1,24,34
16561,01-05-22,RT1,16561|44682|RT1,16,18
16562,01-05-22,RT1,16562|44682|RT1,20,31
16563,01-05-22,RT1,16563|44682|RT1,36,41
17559,01-05-22,RT1,17559|44682|RT1,26,32
17562,01-05-22,RT1,17562|44682|RT1,12,20
17563,01-05-22,RT1,17563|44682|RT1,21,25
18558,01-05-22,RT1,18558|44682|RT1,11,15
18559,01-05-22,RT1,18559|44682|RT1,29,42
18561,01-05-22,RT1,18561|44682|RT1,31,33
18562,01-05-22,RT1,18562|44682|RT1,34,38
18563,01-05-22,RT1,18563|44682|RT1,18,27
19559,01-05-22,RT1,19559|44682|RT1,18,24
19561,01-05-22,RT1,19561|44682|RT1,25,36
17564,01-05-22,RT1,17564|44682|RT1,9,16
19562,01-05-22,RT2,19562|44682|RT2,23,23
18563,01-05-22,RT2,18563|44682|RT2,21,29
17561,01-05-22,RT2,17561|44682|RT2,32,36
17558,01-05-22,RT2,17558|44682|RT2,38,50
16562,01-05-22,RT2,16562|44682|RT2,30,43
16561,01-05-22,RT2,16561|44682|RT2,24,24
16558,01-05-22,RT2,16558|44682|RT2,21,22
19560,01-05-22,RT2,19560|44682|RT2,37,38
16563,01-05-22,RT2,16563|44682|RT2,37,38
16559,01-05-22,RT2,16559|44682|RT2,35,41
19559,01-05-22,RT2,19559|44682|RT2,32,41
19558,01-05-22,RT2,19558|44682|RT2,25,39
17559,01-05-22,RT2,17559|44682|RT2,34,39
16560,01-05-22,RT2,16560|44682|RT2,25,34
18562,01-05-22,RT2,18562|44682|RT2,33,34
18559,01-05-22,RT2,18559|44682|RT2,29,44
17563,01-05-22,RT2,17563|44682|RT2,40,44
17562,01-05-22,RT2,17562|44682|RT2,19,30
18558,01-05-22,RT2,18558|44682|RT2,21,30
17564,01-05-22,RT2,17564|44682|RT2,25,40
18561,01-05-22,RT2,18561|44682|RT2,35,40
18560,01-05-22,RT2,18560|44682|RT2,34,40
17560,01-05-22,RT2,17560|44682|RT2,31,45
19561,01-05-22,RT2,19561|44682|RT2,35,45
19563,01-05-22,RT2,19563|44682|RT2,36,45
19563,01-05-22,RT3,19563|44682|RT3,20,29
18560,01-05-22,RT1,18560|44682|RT1,27,30
19562,01-05-22,RT3,19562|44682|RT3,25,29
